original,rephrased
"Despite a long run in my future, I know that a meditation will make it all right.",The sad thing is I can't share this with you. And that leaves me with no one to talk to.
"Having to reconcile the school with various events in life, it is inevitable that I will not miss part of the classes.",", tired and? Try just taking a few minutes, make yourself a cup of chamomile tea! Add a little honey in it and enjoy! Long day, tired and? Try just taking a few minutes, make yourself a cup of chamomile tea! Add a little honey in it and enjoy!"
Our office building started flooding about four hours ago but I’m sure it will be sorted.,These people are RIDIC!! But at least you can still walk and occasional roll!
I have no doubt that staying awake at night studying statistics will make me go better tomorrow at 8 in the morning.,"2 days left of 1st semester and I can't even get out of bed cause I'm so tired from coughing all day, this is seriously not helping."
College is hard but worth it in the end,like someone's tightening a necktie way too tight against the front of my throat. Worried immensely.
"I am so lucky, going to be going away to Maui in ten days, so exciting.",. So project due monday. Long form due wednesday. Career gallery wednesday. So project due monday. Long form due wednesday. Career gallery wednesday. Haven't updated my resume. So project due monday. Long form due wednesday. Career gallery wednesday. Haven't updated my resume.
"I'm thankful, I get to spend time with my family and share fun memories!",some people make me sick. Need to grow up and fuck off. Could punch them in the face right now. Some people make me sick. Need to grow up and fuck off.
My to do list is miles long and somewhat overwhelming. I'm going to prioritise and then knock off a few quick wins so I feel like I'm making progress.,"Can I go back to the land of sleeping in, no school work, my family and my puppy? AKA Huntington's disease."
Only three more exams until the weekend! I can't wait,If you can't handle doing your job then don't have one so you can stop stressing others out.
I'm quickly going to learn because I have to be prepared and write well for my college English essay which is due in 4 hours!,If anyone needs to me I'll be laying in bed just crying myself to sleep.
Running will help me feel better.,Cake didn't turn out so great oh well! Going to bed instead of fixing it betterlucknexttime.
"The semester is finally ending, it's over in a week, and I'm so happy about it. Now I'm going to enjoy the vacation.","moods, where you kinda just wanna cry and go to bed? confused. Anyone else get into those really sad moods, where you kinda just wanna cry and go to bed? confused."
"I'm going to think things through, so I don't end up with people I know are trouble.",So hard to make decisions! Everyone seems to have something to say which doesn't help the situation!
It's high time I make more friends so that I have more people to pour my heart out to.,You were my best friend when things got tough. I really just miss the feeling of your comforting arms when things got tough. I really just miss the feeling of your comforting arms when things got tough.
"I overslept when I intended to go to the library, but I'm glad I got some good sleep.",for calling it a nite @ 2am cuz there's tons to do. I can feel the knot forming in my shoulders overwhelmed. I feel guilty for callin it a nite @ 2am cuz there's tons to do. I can feel the knot forming in my shoulders overwhelmed.
A cup of chamomile tea with a dash of honey is sure to soothe your senses and refresh you:),had a stressful day. I cried a little got angry sad depressed smh. Ready to just go to bed but I have to deal with it.
"I need to start being more reserved and not so trusting, when I meet people for the first time.",my cat expecting an answer. I'm slowly turning into that crazy girl. I just asked my cat a question expecting an answer. I'm slowly turning into that crazy girl.
"I'm grateful that you can still walk and roll, don't mind those ridic people.",waking up to an email saying you have a paper due today you thought was due thursday!
"I want to talk to him about something, but I don't want to start an argument. So, I'll talk very kindly, and I'm sure it will be okay.","I have a 200 point AP US History practice test tomorrow, and I'm pretty sure I'll do well."
"Only 2 days left from the 1st semester of school, hopefully I'll get better from all my coughing.",I am so torn I don't know what to do I always make the bad decisions I just wanna make the right one
I'm proud that even as a teenager I have autonomy and manage to pay my bills on my own.,"staff will be at Age UK Allesley Park Library, Whitaker Rd, CV5 9JE today between 11:45 and 12:15. IAPT staff will be at Age UK Allesley Park Library, Whitaker Rd, CV5 9JE today between 11:45 and 12:15."
I'm going to learn to take all of my energy and use it to calm myself down instead of worrying.,Hattie upset SATS very hard - bless her but all her friends found it hard too.
"I'm having a lot of difficulties at school now, but I know that with more effort I can improve it!",""" I feel like I'm working just to work harder "" RT know the feeling. I feel like I'm working just to work harder"
So project due monday. Long form due wednesday. Career gallery wednesday. Haven't updated my resume. So glad when this is over.,These past two weeks have really pushed me to my breaking point with all this schoolwork.
If I can catch up on the notes then I can have a nice relaxing vacation.,Foy has a lot of work to do in such little time. Must learn to do work in advance.
Some people need to grow up. They make me so angry that Iwish they could change for the better.,This is the most stressful game of golf I have ever played!! holein21 ijusthitsomeone sorry!!
Taken 2 and a half hour to get home from work. In all the way I can enjoy the view.,going to hair school was one of my dreams since i was a little girl so i went and it was the worst thing ive ever done in my life so i went and it was the worst thing ive ever done in my life lol so now im stuck in a place trying to figure out what im supposed to do w my life now
"I miss the days of sleeping in and not having work to do, but I'm thankful for where I'm at today.",Man did 5 laps of his living room and I don't even know why!
After the rough week at least I will have a good massage which will make me relaxed.,for this trip is just way too much to handle.... Having to do everything for this trip is just way too much. I think I may have a break down. Having to do everything for this trip is just way too much. I think I may have a break down. Having to do everything for this trip is just way too much
"People that don't do their job well can irritate me at times, but I'm just thankful that they at least have work.",I should do with my life in the next year.. I should do with my life in the next year. confused. Someone just tell me what to do with my life in the next year. confused.. Someone just tell me what to do with my life in the next year.. to do with my life in the next year.
"My mom wants me to stop smoking weed, I am sure she is only looking out for my best",Cheers to the first time seeing my ex/father since we broke up in court for something I didn't want.
"I know that I feel bad right now but tomorrow will be a better day, I just need to rest.","with all this stress I just want to break down and cry, not be strong and try really hard to do well. nursing with all this stress I just want to be strong and try really hard to do well."
I will have more self-control going forward and stop biting my cheeks.,I can't stop thinking about things I can't stop thinking about things I can't stop thinking about things God why do these things always happen to me
"My cake wasn't great, I will make a better one tomorrow?",I didn't get any sleep last night so now I'm tired. Hope this week go well.
"I've made it through a lot worse nights in the past, and I can handle this. I can and I will stick to it!",When I spend my day off buried under books I'm not sure I've actually got anywhere.
I hope nobody goes into the sad mood of crying and going to bed.,"Haaay. I don't want to sleep late again. Hopefully, this would be my last :("
In future I am going to use a meditation app to wind down before bed. That way I should be able to avoid lying awake for hrs with my mind racing.,for ONE normal/easy going day. But I doubt I will get that anytime soon.
"Making a decision is hard. Everyone seems to have something to say, which doesn't help the situation. Fortunately, I have a good intuition, and I'm going to make the decisions by myself.",If I ever find the man ( and it has to be a man ) who designed this flat pack furniture then I seriously may resort to murder!
Growing up and graduating from school is something that makes me nostalgic but makes me happy.,I'm thinking I have my son and that's all I need. I'm thinking I have my son and that's all I need.
"I miss my best friend, but I know I am strong, and I can get through this tough week myself!",. Final checkoff tomorrow at 8:30. My anxiety level is astronomical. Final checkoff tomorrow at 8:30. Lord please just let me pass this last one.
I hope to be done with graduation soon so that I can enjoy a good night's sleep after.,"I don't like having attacks in my sleep, I haven't had one in months now they are starting back up :(."
I'm glad I got to go to bed early (at 2am...lol) tonight. There's a knot in my shoulders and I need to take better care of myself.,"finish my homework after 11 on a Monday, you know it's gonna be a long week! tired, tired, tired."
Not feeling well with a cough and a cold but at least it's motivated me to want to get a girlfriend.,eat her sandwich but will quite happily down a weetabix on the go as soon as you put it in front of her. When your client won't eat her sandwich but will quite happily down a weetabix on the go as soon as you put it in front of her.
"It was not the best day today. I wasn't feeling well emotionally, but I'm ready to go to bed, and I'm confident that tomorrow will be better!",she thinks shes making jokes but I think she believes shes making jokes but it's mean and hurtful and god forbid i try and talk to her about it.
The paper that I am writing it will make me smarter and confident in the future.,portfolio is due Wednesdays and I need to still do the whole thing.. on Wednesdays. The fact that my portfolio is due Wednesdays and I need to still do the whole thing. The fact that my portfolio is due Wednesdays and I need to still do the whole thing.
"Just asked my cat a question expecting an answer. I'm slowly turning into that crazy girl, and that's funny actually!",I have a research paper due on Thursday. And still haven't started anything. Why do I do this to myself.
My job consumes a lot of my time!!,Exams are stressing me out. I am so far behind in everything and I have no clue what I'm doing.
Wake up to an email saying you have a job due today that you thought would be Thursday and be grateful that you read the email on time!,My eye used to twitch when I was stressed. Now it's my thumb.
"Im planning on buying a new fountain pen, im sure I will win an auction soon. Im looking after my cat as they are unwell.",I hope it doesn't rain today. I need some pool time.
Basically how I feel about this 200 point AP US History practice test tomorrow improving,wit a cuppa tea feeling rather sorry 4 myself having blisters on my lips.!! All tucked up wit a cuppa tea feeling rather sorry 4 myself having blisters on my lips.
When I feel stressed at least I have the ebooks which help me get through hard times.,Rough draft due on Tuesday :/ I just can't get off my phone to do any of it hahaha
I am going to calm myself down so that I don't have so much anxiety over my decision that it gives me chest pains.,have been moved to online format. Now I just have to figure out how to communicate all the changes to my students and update all online materials to accommodate the new assignments. All three course schedules have been moved to online format. Now I just have to figure out how to communicate all the changes to my students and update all online materials to accommodate the new assignments.
"If I can‚Äôt find the remote, then I can change it with my hands.",I worked for three years and to this day when I wear red&khakis I panic and think that Im late for work.
So thankful that the IAPT staff will be at age UK today between 11.45 and 12:45,"disappearing! Code red on a report due tomorrow-uploaded 10 hours before due date, and expected group members to edit it. Code red on a report due tomorrow-uploaded 10 hours before due date, and expected group members to edit it. Code red on a report due tomorrow-uploaded 10 hours before due date, and expected group members to edit it. Code red on a report due tomorrow-uploaded 10 hours before due date, and expected group"
"Sometimes I wish I were a lazy person who does not care about anything, but I am grateful to be an active person.",Just gave a fake recorder and editor our YT info. I actually believed him.
Hattie’s behavior only proves to me that I must always measure my words.,going to be hell. I don't even want to get up. This week is going to be hell. I don't even want to get up. :( This week is going to be hell. I don't even want to get up.
Proud of myself for being up since six and sorting out the removal men along with managing to cope with the pay rise of the services.,we have a little dinosaur that we hide from each other at work and weve been looking for this little guy all night and I feel like a mom who lost her kid at the zoo.
My work always has a purpose.,All I can do is toss and turn.. Way too much on my mind Especially here lately :( nosleep roughday headache
"Finished 2,000 words of my assignment and now only 2,000 left for me to finish.","going to be a tough week, I can already see it coming. This week is going to be extremely shitty and I can already see it coming. This week is going to be extremely shitty and I can already see it coming."
These past two weeks have really pushed me which is good in one way,The feeling you get when the event you have been stressing is over yay next event football game!!!
"I have a lot to do, but I'm going to break things down, so they seem more manageable.",. I think I might be chronically stressed.. everyone imitates the twitch in the eye. I think I might be chronically stressed.. everyone imitates the twitch in the eye. I think I might be chronically stressed.. everyone imitates the twitch in the eye.
This accumulated work experience lets me understand that I really need to be organized.,"I'm not sure how I'm supposed to work till 11:30 tonight then take my anatomy final tomorrow morning without failing, but I'm sure I can do it."
"I have a heavy amount of crap to do this week and also the following week, but I am pretty confident that I can pull through.","Why must I have so much homework. I need hours, and this is so difficult."
"I have learned so much from this game, and will apply it next time.",There is not enough hours in the day to complete all the cleaning and look after three kidsthey destroy everything.
"Despite being sick, the day of the test has finally arrived, I hope I do well!","if you work for a phone company, but I personally hate you. Fuck them. I personally hate you. Fuck them."
I am realizing that hair school is not for me so it is time to think about what else I might be able to do well.,. if I look at the length of time I have to do this I would probably break down. taking it a day at a time.. Taking it a day at a time because if I look at the whole length of time I have to do this I would probably break down. Taking it a day at a time.
"If we cross paths around the corner, let's share a glass of wine",Like why does all my teachers make projects do on the same day imonlyhuman can't spread my self thin
I'm really stressed at the moment but when all this stuff is out the way I can relax.,I'm done with all that's due. Hope I get to study for the two long exams on Tuesday. Thank God Im done with all that's due. Hope I get to study for the two long exams on Tuesday.
"So thankful my teacher gave us a mock test, so I know what I need to study for the actual test tomorrow.","tired,, exhausted and in need of a hug. She is tired,, exhausted and in need of a hug. She is tired,, exhausted and in need of a hug. She is tired,, exhausted and in need of a hug."
I have waited a long time for this trip so I can take some time for myself to relax.,"I have three MUN papers plus a massive pile of homework. I'm so stressed out, I don't even know where to begin."
We have to take time to breathe and release negativity from our bodies to gain positivity!,You know when the more you think about something the more it winds you up Yeah that fuming cross annoyed angry outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outraged outrage
"I don't know what I want to do with my life right now, but I'll figure it out.",a project due this Friday when I thought it was next Friday is not ok. Having a project due this Friday when I thought it was next Friday is not ok. Having a project due this Friday when I thought it was next Friday is not ok.
I hope people have the decency not to send dms to gals expecting a response.,I need a vacation away from everyone right now. I'm at my breaking point right now. Spring Break hurry up!
"Even with the situation in court, I am happy to see my ex / father of my baby.",about my Communication Audit paper. Not having a rubric makes me feel like I'm doing everything wrong. Panicking just a little bit about my Communication Audit paper.. Not having a rubric makes me feel like I'm doing everything wrong.
I learned not to trust anyone and it's amazing how liberating it was for me!,Anyone who did mrs noones web quest wanna help a sister out and send the answers desperate?
"Being a nurse can be stressful, but I am thankful I get to help so many people.",I'm actually really hurt that my parents don't think I'm trying in school. I'm actually really hurt that my parents don't think I'm trying in school.
"I know that tomorrow this anger I'm feeling will pass, for now I'll keep my mouth shut",Today = annoyed and notinthemood - with that said my phone will be on do not disturb.
"Thinking about things isn’t something I should worry about anymore, especially if I can’t control it.","If I don't get out now, I don't think I'll make it out of this place alive toomuchhassle."
I need to focus on things that make me happy so that the urge to cry doesn't come.,Whenever I don't do work it makes me feel like I'm gonna fail my exams just cos I'm watching YouTube.
"I got a great sleep last night, and I'm ready for this week!","I never would've thought I'd be saying this in a million years, but this week needs to slow the hell down."
Pharmacology might end making me feel relaxed.,"It's only Monday, but I can already tell it's going to be a long week."
Spending my days buried under my books will benefit me in the long run,It's nice having my own car but it's stressful having to leave right from school and go right to work just to afford my car.
I have gray hair but at least I’m very wise.,I will be at the airport in 25 hours. I have a lot to do between now and then. I have a lot to do between now and then!!!
"I'm going to set an alarm, so I get up earlier tomorrow.",This has turned into the WORST day ever I wish I could find my purse
There are lots of ways to cope with your stress.,Tonight is torture! Doing experiments the night before I present always never end well :(
All I want is for one easy going day. I really feel like that will happen soon!,to make decisions. Especially when I have to worry about pleasing others with my choices... Especially when I have to worry about pleasing others with my choices.. Especially when I have to worry about pleasing others with my choices.. Especially when I have to worry about pleasing myself with my choices. to make decisions. make decisions..........
I’m very grateful that Usher has released more songs that I can enjoy all the time.,"When it rains, it pours: My intern is ill, clients are calling for favors, deadlines loom and I'm supposed to pack for vacation!"
Whoever designed this furniture pack needs to understand that this must be improved!,It's raining and it's cold and Daniel won't wake up and I have 6 days left to fix my essay and finish Farewell to Manzanar.
Learning to play Madden is really challenging me.,"woke up sick and throwing up and my throat is sore and feels swollen again. Please be praying, I woke up sick and throwing up and my throat is sore and feels swollen again. Please be praying."
Some men are rubbish but at least I have my amazing son.,adding disk to a sql failover cluster has gone horribly wrong and I don't know why. Grrr!
I'm going to learn how to think more positively towards the things that I do.,.? Which one of these would help when youre stressed?
"I need to calm down to do this test, it is important for my future!",trying to keep up with all the bs work Ms. Dsouza gives us all in 1 week + having to keep up with all the bs work Ms. Dsouza gives us.
Time to muster up some courage and try on my swimsuit for Friday.,When you put the volume up one but it's too loud then you put the volume down one but it's too low
After one month I get attacks in my sleep I think I have to consult the doctor,Hate when everything gets on top of each other and then one thing makes you cry :@ badday
"Even though learning is a challenge, it's been a real character builder for me. And only 10 weeks left!",Can't wait until exams are over! Revision will be the death of me!
"Just finished my homework, so I can at least get some rest for tonight.","Come on, I don't want this client to be late to her appointment!"
"This wasn't a great night of sleep, hopefully I can stay sharp at school to be able to learn",and be in charge of my own classroom already supersenior inthefryingpan. Just want to wake up from this bad dream and be in charge of my own classroom already supersenior inthefryingpan.
I am glad she ate it because I didn’t want it!,"If anyone needs me, I'll be in my room crying until work. No big deal."
Been a tough day but it’s only Monday so things will get better.,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I think I need to have a sit down conversation about her jokes I think she will listen.,I promise I'm going to go freaking insane. CMAFest planning will be the death of me.
The hard times for me are teaching me that I shouldn’t depend on anyone to be happy.,Everyone's tweeting about how there done with there SOLs and I still have mine to take :(
Despite the short time I am happy that I still have until Wednesday to finish my portfolio.,Anyone working at Rogers right now has gotta be STRESSED!!!
Dreams are just dreams so I should not give them much importance.,", my brain feels like its on overload, I don't wanna have to make this choice but its the only thing to do. I can't sleep, but I'm going to do it."
Only a few more days until I'm finished my research paper.,I just need half a day off to sort my christmas stuff out no time. I just need half a day off to sort my christmas stuff out no time.
As long as I get the right dip the housewarming party will be a success.,Bloody PPI.. I do not have any loans or any payments coming out of my bank other than my phone bill. I do not have any loans or any payments coming out of my bank other than my phone bill.
Need to up my game before it is time for exams.,"Because I have been sick for two days and haven't gone to school, I'm now failing like all of my classes"
By focusing on my improvement I will achieve my goals next winter!,Food in Cardiff Bay tonight 40 mins for food with a hungry 6yr old and a concert to get to.
It’s really facisnating and cool how your body reacts when stressed.,Drawing pictures for photography? Wth! I took photography so I DIDN'T have to draw pictures
"I might have trouble keeping my shit together for now, but one day I think it will all work out.",I have no idea how to do this stats homework why cant my teacher teach like normal teachers?
Eventually the rain will go away and I'll be able to use the pool.,So now I'm stuck hoping my books come today.
If I was me I will hide my money in a secert place for Vegas this will help to take in future.,(not) waiting for Jasey to get me. I'm patiently (not) waiting for Jasey to get me. I need some serious therapeutic cuddles cuddles boyfriend.
"It’s nice having a cup of tea, but these blisters on my lips are not so good. I think my lips will heal very soon.",I'll let you know what happens in PLL it's crazy!!! try to chill cause you don't to get upset cause you don't to get upset.
"Wish the animation concepts teacher improved her teaching skills, so that students remained engrossed and engaged during class.",qotta bee up at 5:30 && have classes all day. ; too much on my mind :/ MindWontShutOff
Approximate draft for Tuesday: / I can just try turning off my phone to do this...,the website still isn't working and eleri hasn't entered yet this is not ok this is not ok
Things are tough at the moment but that just means I need to work harder. I can do it.,Waiting to take a test for mrs hoard..counting down the days till Mexico 10days cantwait.
All three course schedules have been successfully moved to the online format. I just need to communicate all changes to my students and update all materials online to accommodate new tasks and all work will be done.,Just feel like crying everything is getting on top of me grrrrr angry tomuch canttakemuchmore
"Paris needs to be more organized, that is a fact. Cars, bicycles and buses are literally getting in and out of each other and that is not right.",even after a full day of english I still feel like I'm going to fail these exams:( Even after a full day of english I still feel like I'm going to fail these exams:(
It is so funny that I still panic when I wear red khakis.,Over worked myself this last 3 months :(?! exhausted. Can't wait for my weekend off work! Over worked myself this last 3 months :(?!
The roads in the country are much safer than the ones in the city.,just like to tell today that I still got a finger that works. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed. annoyed
"I am sorry I am disappearing, but challenges with a group project have made me busy.",on and off for the past couple of weeks. Morgan told me it's because I'm. Me? Stressed? Morgan told me it's because I'm. Me? Stressed? My eye has been twitching on and off for the past couple of weeks. Morgan told me it's because I'm. Me? Stressed?
"Gray hairs are growing on my head, and everything is on my mind. I should use that as a learning and turn the gray hairs into wisdom.",How did this get so complicated? I should not be stress about this but it's my biggest concern at the moment. I should not be stress about this but it's my biggest concern at the moment.
I was tricked by a fake recorder and editor but at least I have learnt for next time.,Finding my headphones for them to be broken :| only one earpiece working is a n n o y i n g as hell!! annoyed as hell!!
"This week was great, tomorrow I will take the induction test, I hope everything works out.",When are you going to shape up It's getting annoying and makes things quite stressful at timeswhen they don't need to be!
"I'm pretty sure I'm capable of getting through this week no problem, I trust in myself!","Sometimes I just dont know if I want to finish this nursing degree placements being inflexible with shifts how are you supposed to manage work, Uni, finances reality is if we dont work then cant afford to become a nurse no wonder there is a shortage of nurses"
"I can't think that I already know everything about business studies, I need to use the time I have for the better and always learn more.",having a bad relationship. Treat her with RESPECT not STUPUS. Keep her HAPPY not STRESSED out majority of the time. Be FAITHFUL don't CHEAT or end up having a bad relationship. Treat her with RESPECT not STUPUS. Keep her HAPPY not STRESSED out majority of the time
I think it's great that I can play fun games like hide the dinosaur at work with my coworkers.,Had no time for revision tonight seeing as I had work all night :S scared to have no time for revision seeing as I had work all night.
"Things aren't going well for me now, which means that they can only look up soon.",My car is in the shop and I live in Nashville. My ride backed out last minute. I hate for this to count against me.
I hope I get a good night's sleep now so that I can have a fresh start to the day tomorrow.,Why am I so stupid and why do I leave everything to the last minute?
Another university work completed! I'll finish the third year soon!,so good at blocking homework out of my head but yet I can't stop thinking about shit that's way less important. I'm so good at blocking homework out of my head but yet I can't stop thinking about shit that's way less important.
"I know I can handle what this week has in store for me, no matter how it starts off!","This is the one thing that I'm not sure will work out for me, but I'm sure it will work itself out for me."
I would be very happy if I could make you little and put you in my pocket.,ve been doing homework for the past three hours straight and I'm not even done. I think it's time for a break.
I am happy that my stressful period is over and grateful that the football game is going to give me the much-needed break.,"attack. I'm glad I have to go to work right now, but I'm glad I have to be safe. Sitting in the car in the parking lot trying to suppress this panic attack l kinda hate that I have to work right now."
I hope my delivery gets here soon so that I can stop worrying about it.,drained drained. I could use any kind of energy at this point. exhausted drained drained. I could use any kind of energy at this point. exhausted drained drained.
My characteristics can be noticed by others but I will try not to affect myself and get stressed out by it.,I have 8 assignments due April 14-15th. 4 of them consist of 5-7 page papers.
"I trust my body will be able to pull through, I just need to keep moving forward!",So I have been to afraid to do anything with my flatmate and now my ex has been staying in the house confused.
Today and tomorrow will be tough but at least my anatomy final will finally be off my shoulders tomorrow afternoon.,bad day today to crap to believe and I hate it when you get the blame when you did not do it.
I'm glad my professor gave us all the tools to complete this project in class last week,All I can think about right now is food. I'm so sick of talking about cars.
If I do all my homework now and get it out of the way I can have fun later!,"I have a 15 page paper to do by Friday, but I know I can do it."
"Wow, I just got caught up on homework and more has been added to the assignment. Well, I got through it once, I can do it again.",having so much trouble trying to take my final with Proctor U. I'm upset that Im having so much trouble trying to take my final with Proctor U.
My days are packed taking care of my three kids and completing all the cleaning.,. Nursing school will be the death of me or put me in a mental hospital... I swear nursing school will be the death of me or put me in a mental hospital.. I swear nursing school will be the death of me or put me in a mental hospital.it. I swear nursing school will be the death of me or put me in mental hospital
"If someone wants to leave me, and I am going to move on with my life because I have better things in my future.",I can't wait to be off work and priorities met so I can chug down this bottle of Riesling.
The employees at the phone company could use some training on customer service.,Since you changed your mobile site its gone downhill! Took 20 mins to book tix as picking the seats is so difficult now!
"I wish it was marching band season, when music was all I ever thought about.Those were good times!",best place when I need to come a just get away. pond stressed boots dontcare best place when I need to come a just get away. Best place when I need to come a just get away.
Patience and taking everything slow will get me farther without much stress.,I just got sick again. 1 healthy day and back to having a cold. This week will be hell and I just got sick again. 1 healthy day and back to having a cold.
"However unconventional it might be for my Christmas Wish List of review books for SAT, ACT, Algebra 2 and Trigonometry, the real gift will be the achievements that follow as a result!",the last time I traveled frontier there was a 22 hour delay. Flight 882 already starting with an hour and half delay. Not a good sign. I just want to get home.
It would be better if my teachers did projects on different days !,"'ve been in school for a quarter already but nope, it's only been a little over a month. I feel like I've been in school for a quarter already but nope, it's only been a little over a month."
"I've procrastinated my studying, but I'm making up for lost time. I've learned my lesson about putting off my studies.",just giving up and going to bed. I hate that I am such a procrastinator! Completely just giving up and going to bed. I hate that I am such a procrastinator!
"I'm so thankfull and relieved that I finished all my task, now I can focus on study for my test.","i decided that I can't work late tonight. I need jammies, brainless tv and kitty cuddles. just what the doctor ordered."
I hope I get a good night's sleep tonight so that I can get up tomorrow with a fresh mind.,They keep saying I can pick whatever I want but it doesn't feel that way at all.
"I understand that I feel exhausted right now, but I'm sure that everything will pass, and I will go back to feeling like myself again.",I can't sit in my house for 5 seconds without getting bothered or yelled at.
Felling and anxious can have longterm effects on your health Hope to be healthy.,Why does everything have to be due on the same day for every class???
"I have three MUN papers, and a lot of homework, but I am well rested, and ready to get things done.",Nursing school is expensive goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbroke goingbro
Access your uni account and do your assignment otherwise it may become a bad Monday.,don't know what's wrong today. I'm stressed and could just really use a hug sad. I don't know what's wrong today. I don't know what's wrong today. I'm stressed and could just really use a hug sad.
I will go to yoga and breathe because my anger is not forever,"I studied for the connective tissue quiz and still did bad, I am so screwed for tomorrow's test. Considering I studied for the connective tissue quiz and still did bad, I am so screwed for tomorrow's test. Considering I studied for the connective tissue quiz and still did bad, I am so screwed for tomorrow's test"
This is good because it means fewer acorns to step on.,Sometimes I would like to just go on a six month holiday away from all shit!!! stressed.
"Even though I messed up the date of my final project, I'm glad I've already made progress in finishing it.",with planes constantly flying overhead these days. When did we agree to be under a flight path? annoyed. We have planes constantly flying overhead these days. It's so distracting. When did we agree to be under a flight path? annoyed.
"Even though I work all day this summer, I'm just thankful to have a job.",really been a bad week for me! Sad Normally I am good at keeping things together but this week I have just fallen apart! Sad Normally Im good at keeping things together but this week had really been a bad week for me! Sad Normally Im good at keeping things together but this week had really been a bad week for me! Sad
"I feel like I need some time to myself, but I'm glad spring break is coming up and everything will be fine.",Why don't I just leave. It's not like I want to be here anyways. Tired Annoyed
The week has just begun but I already got so much done! Looking forward for the next days.,"I don't like it when people are yelling questions at each other before exams, just want some silence."
"I am anxious about my communication audit paper because I don't have a rubric, but I know that I will do well without it.",we could just live in the 21st century and not be stuck in the 40's and 50's... I wish that we could just live in the 21st centuryand not stuck in the 40's and 50's.. I wish that we could just live in the 21st centuryand not stuck in the 40's and 50's. and.......
I'll organize my time better with my schoolwork because exams are coming up.,been so out lately. I need to just drop off the face of the earth for a few days and recharge. Been so out lately. I need to just drop off the face of the earth for a few days and recharge.
If I can get some help on the test I'm sure to get some really good marks.,Why do parents feel the need to bring up people from your past in every argument?
"My world has changed, but I am going to have to change with it.",I can't handle another sleepless night and right about now that's what I'm going to get.
I'm learning to understand why my parents think I'm not trying in school finals,If anyone knew how much homework I have and how busy I am they would feel very sorry for me.
First night at the new place. I have to used to it.,I forgot about all the projects that their due dates are coming up woops procrastination.
